Hash Function,Variant,Cycles per byte
PHOTON,80,"1363, 1363, 1363, 1363, 1363, 1363, 1363, 1363, 1363, 1363"
PHOTON,128,"1425, 1425, 1425, 1425, 1425, 1425, 1425, 1425, 1425, 1425"
PHOTON,256,"845, 845, 845, 845, 845, 845, 845, 845, 845, 845"
SPONGENT,088080008,"3174, 3174, 3174, 3174, 3174, 3174, 3174, 3174, 3174, 3174"
SPONGENT,088176088,"2782, 2782, 2782, 2782, 2782, 2782, 2782, 2782, 2782, 2782"
LESAMNTA,256,"1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604, 1604"
ASCON,256,"2531, 2531, 2531, 2531, 2531, 2531, 2531, 2531, 2531, 2531"
PHOTON_BEETLE,256,"2158, 2158, 2158, 2158, 2158, 2158, 2158, 2158, 2158, 2158"
XOODYAK,256,"2450, 2450, 2450, 2450, 2450, 2450, 2450, 2450, 2450, 2450"
KNOT,256,"3762, 3762, 3762, 3762, 3762, 3762, 3762, 3762, 3762, 3762"
ORANGE,256,"1207, 1207, 1207, 1207, 1207, 1207, 1207, 1207, 1207, 1207"
SHAMAS,256,"3643, 3643, 3643, 3643, 3643, 3643, 3643, 3643, 3643, 3643"
SIVRIJNDAEL,256,"811, 811, 811, 811, 811, 811, 811, 811, 811, 811"
SIVTEMPHOTON,256,"3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392"
SKINNY,256,"204, 204, 204, 204, 204, 204, 204, 204, 204, 204"
SNEIK,256,"2533, 2533, 2533, 2533, 2533, 2533, 2533, 2533, 2533, 2533"
TRIAD,256,"3657, 3657, 3657, 3657, 3657, 3657, 3657, 3657, 3657, 3657"
CORAL,256,"907, 907, 907, 907, 907, 907, 907, 907, 907, 907"
GIMLI,256,"2256, 2256, 2256, 2256, 2256, 2256, 2256, 2256, 2256, 2256"
DRYGASCON,128,"3106, 3106, 3106, 3106, 3106, 3106, 3106, 3106, 3106, 3106"
DRYGASCON,256,"2329, 2329, 2329, 2329, 2329, 2329, 2329, 2329, 2329, 2329"
CLX,256,"1116, 1116, 1116, 1116, 1116, 1116, 1116, 1116, 1116, 1116"
ACE,256,"3728, 3728, 3728, 3728, 3728, 3728, 3728, 3728, 3728, 3728"
SPARKLE,256,"1633, 1633, 1633, 1633, 1633, 1633, 1633, 1633, 1633, 1633"
SUBTERRAINEAN,256,"4065, 4065, 4065, 4065, 4065, 4065, 4065, 4065, 4065, 4065"
SATURNIN,256,"3449, 3449, 3449, 3449, 3449, 3449, 3449, 3449, 3449, 3449"
ISAP,256,"3953, 3953, 3953, 3953, 3953, 3953, 3953, 3953, 3953, 3953"
GAGE,256,"3722, 3722, 3722, 3722, 3722, 3722, 3722, 3722, 3722, 3722"
BLAKE3,256,"2545, 2545, 2545, 2545, 2545, 2545, 2545, 2545, 2545, 2545"
BLAKE2,256,"3516, 3516, 3516, 3516, 3516, 3516, 3516, 3516, 3516, 3516"
