Hash Function,Variant,Power,Energy
PHOTON,80,"0.19496989972897988, 0.1996803889719106, 0.1080129719245767, 0.19814963111615702, 0.2108450717489564, 0.20111983371698108, 0.19943947146334418, 0.19081582506107267, 0.19496989972897988, 0.20270722877337738","575.7786088829656, 589.6894686988805, 318.9803082552624, 585.1688856245311, 622.6606377199597, 593.9403889385312, 588.9779991431658, 563.5109340428578, 575.7786088829656, 598.6282311059123"
PHOTON,128,"0.2027862723438502, 0.19106761645065162, 0.19340186237940948, 0.19496989972897988, 0.2065447933244533, 0.19693273343832896, 0.10469797377733508, 0.19081582506107267, 0.20207376713449934, 0.21684044044266165","626.1026158616374, 589.9212657913869, 597.1282500964268, 601.9695654132254, 637.7070493892495, 608.0298144908406, 323.25499403752207, 589.1438598760619, 623.9027560277667, 669.4948598667179"
PHOTON,256,"0.19496989972897988, 0.20816780823703065, 0.20111983371698108, 0.1971767137921904, 0.18946728643126998, 0.19562636589525184, 0.19521633323757492, 0.20207376713449934, 0.19943947146334418, 0.20270722877337738","356.9573914204739, 381.1205622472969, 368.2168955635062, 360.9977001678685, 346.88302357458343, 358.15927155989016, 357.40857010246003, 369.9633886620791, 365.14043233747265, 371.12315134592507"
LESAMNTA,256,"0.19693273343832896, 0.21431290295006952, 0.2005612772581573, 0.19943947146334418, 0.2065447933244533, 0.21258605863474267, 0.20553364723501497, 0.20498711805087874, 0.19331898178319742, 0.2064671886651952","684.4068929426726, 744.8087753858083, 697.0172922311828, 693.1186431589422, 717.8120050669168, 738.8074157752757, 714.297935357422, 712.3985642661539, 671.8479013572054, 717.5423030077751"
ASCON,256,"0.19562636589525184, 0.20207376713449934, 0.19935910092956946, 0.21251066013666806, 0.19521633323757492, 0.19943947146334418, 0.19935910092956946, 0.19943947146334418, 0.19488768597886488, 0.206699915233908","1072.782386175245, 1108.1388600044052, 1093.2520829809373, 1165.3730417461315, 1070.5338354193211, 1093.6928215930689, 1093.2520829809373, 1093.6928215930689, 1068.7315886270985, 1133.507885156879"
PHOTON_BEETLE,256,"0.20662236883641844, 0.2013587407507843, 0.19943947146334418, 0.20809080886016412, 0.20662236883641844, 0.2005612772581573, 0.2036537268172721, 0.19790685018228565, 0.20373240316821453, 0.20498711805087874","966.0973225561472, 941.4863521704171, 932.5124887387763, 972.963258627174, 966.0973225561472, 937.7576787000575, 952.2169420219585, 925.3464625023068, 952.584806413515, 958.4514349665586"
XOODYAK,256,"0.2093193999565887, 0.19488768597886488, 0.19496989972897988, 0.20215305839402894, 0.19943947146334418, 0.19240493892372487, 0.19943947146334418, 0.19340186237940948, 0.0912876227879278, 0.20373240316821453","1111.1371481028916, 1034.5287997378077, 1034.9652177280016, 1073.0958183083037, 1058.691194351252, 1021.349550786773, 1058.691194351252, 1026.6415527973652, 1086.58513096591673, 1081.4795068179387"
KNOT,256,"0.19488768597886488, 0.19240493892372487, 0.19636226704886364, 0.19496989972897988, 0.2065447933244533, 0.19943947146334418, 0.19814963111615702, 0.19521633323757492, 0.1996803889719106, 0.20231154768406895","1588.5295284137278, 1568.2926571672815, 1600.5488387152877, 1589.199652690915, 1683.546610387619, 1625.6311318977184, 1615.1176432277962, 1591.208332219473, 1627.5948505100432, 1649.041425172846"
ORANGE,256,"0.2005612772581573, 0.20111983371698108, 0.19927869798178247, 0.20207376713449934, 0.206699915233908, 0.20199444474983974, 0.2065447933244533, 0.20662236883641844, 0.21431290295006952, 0.20662236883641844","524.5011669096243, 525.9618851421918, 521.1470083386914, 528.4565800179048, 540.5547283225417, 528.2491387616225, 540.1490586756661, 540.351931568707, 560.4639600315901, 540.351931568707"
SHAMAS,256,"0.19758267821989461, 0.19521633323757492, 0.1996803889719106, 0.19521633323757492, 0.20048135644316564, 0.1979068501822857, 0.19693273343832896, 0.20104013494875675, 0.19693273343832896, 0.19790685018228565","1559.5530096359983, 1540.8750542997182, 1576.110590220119, 1540.8750542997182, 1582.4327599653134, 1562.1117529638113, 1554.4228871509702, 1586.8432918396952, 1554.4228871509702, 1562.1117529638109"
