Hash Function,Variant,o_file_list,.data size,.bss size,Total Variable Size ,Static Stack Size,Dynamic Stack Size,Total Stack Size,Overall RAM
PHOTON,80,photon.o,"16, 16, 16, 16, 16, 16, 16, 16, 16, 16","10, 10, 10, 10, 10, 10, 10, 10, 10, 10","26, 26, 26, 26, 26, 26, 26, 26, 26, 26","227, 227, 227, 227, 227, 227, 227, 227, 227, 227","63, 63, 63, 63, 63, 63, 63, 63, 63, 63","290, 290, 290, 290, 290, 290, 290, 290, 290, 290","316, 316, 316, 316, 316, 316, 316, 316, 316, 316"
PHOTON,128,photon.o,"16, 16, 16, 16, 16, 16, 16, 16, 16, 16","10, 10, 10, 10, 10, 10, 10, 10, 10, 10","26, 26, 26, 26, 26, 26, 26, 26, 26, 26","252, 252, 252, 252, 252, 252, 252, 252, 252, 252","63, 63, 63, 63, 63, 63, 63, 63, 63, 63","315, 315, 315, 315, 315, 315, 315, 315, 315, 315","341, 341, 341, 341, 341, 341, 341, 341, 341, 341"
PHOTON,256,photon.o,"256, 256, 256, 256, 256, 256, 256, 256, 256, 256","10, 10, 10, 10, 10, 10, 10, 10, 10, 10","266, 266, 266, 266, 266, 266, 266, 266, 266, 266","254, 254, 254, 254, 254, 254, 254, 254, 254, 254","68, 68, 68, 68, 68, 68, 68, 68, 68, 68","322, 322, 322, 322, 322, 322, 322, 322, 322, 322","588, 588, 588, 588, 588, 588, 588, 588, 588, 588"
SPONGENT,088080008,spongent.o,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","109, 109, 109, 109, 109, 109, 109, 109, 109, 109","13, 13, 13, 13, 13, 13, 13, 13, 13, 13","122, 122, 122, 122, 122, 122, 122, 122, 122, 122","122, 122, 122, 122, 122, 122, 122, 122, 122, 122"
SPONGENT,088176088,spongent.o,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","149, 149, 149, 149, 149, 149, 149, 149, 149, 149","13, 13, 13, 13, 13, 13, 13, 13, 13, 13","162, 162, 162, 162, 162, 162, 162, 162, 162, 162","162, 162, 162, 162, 162, 162, 162, 162, 162, 162"
LESAMNTA,256,lesamnta-LW.o,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","472, 472, 472, 472, 472, 472, 472, 472, 472, 472","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","472, 472, 472, 472, 472, 472, 472, 472, 472, 472","472, 472, 472, 472, 472, 472, 472, 472, 472, 472"
ASCON,256,"hash.o, printstate.o","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","153, 153, 153, 153, 153, 153, 153, 153, 153, 153","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","153, 153, 153, 153, 153, 153, 153, 153, 153, 153","153, 153, 153, 153, 153, 153, 153, 153, 153, 153"
PHOTON_BEETLE,256,"photon.o, hash.o","16, 16, 16, 16, 16, 16, 16, 16, 16, 16","10, 10, 10, 10, 10, 10, 10, 10, 10, 10","26, 26, 26, 26, 26, 26, 26, 26, 26, 26","187, 187, 187, 187, 187, 187, 187, 187, 187, 187","50, 50, 50, 50, 50, 50, 50, 50, 50, 50","237, 237, 237, 237, 237, 237, 237, 237, 237, 237","263, 263, 263, 263, 263, 263, 263, 263, 263, 263"
XOODYAK,256,"Xoodoo-reference.o, Xoodyak.o","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","390, 390, 390, 390, 390, 390, 390, 390, 390, 390","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","390, 390, 390, 390, 390, 390, 390, 390, 390, 390","390, 390, 390, 390, 390, 390, 390, 390, 390, 390"
KNOT,256,hash.o,"127, 127, 127, 127, 127, 127, 127, 127, 127, 127","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","127, 127, 127, 127, 127, 127, 127, 127, 127, 127","166, 166, 166, 166, 166, 166, 166, 166, 166, 166","97, 97, 97, 97, 97, 97, 97, 97, 97, 97","263, 263, 263, 263, 263, 263, 263, 263, 263, 263","390, 390, 390, 390, 390, 390, 390, 390, 390, 390"
