Hash Function,Variant,o_file_list,.text size,.rodata size,vector size,total ROM
PHOTON,80,photon.o,"2538, 2538, 2538, 2538, 2538, 2538, 2538, 2538, 2538, 2538","87, 87, 87, 87, 87, 87, 87, 87, 87, 87","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","2625, 2625, 2625, 2625, 2625, 2625, 2625, 2625, 2625, 2625"
PHOTON,128,photon.o,"2584, 2584, 2584, 2584, 2584, 2584, 2584, 2584, 2584, 2584","110, 110, 110, 110, 110, 110, 110, 110, 110, 110","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","2694, 2694, 2694, 2694, 2694, 2694, 2694, 2694, 2694, 2694"
PHOTON,256,photon.o,"2598, 2598, 2598, 2598, 2598, 2598, 2598, 2598, 2598, 2598","110, 110, 110, 110, 110, 110, 110, 110, 110, 110","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","2708, 2708, 2708, 2708, 2708, 2708, 2708, 2708, 2708, 2708"
SPONGENT,088080008,spongent.o,"1036, 1036, 1036, 1036, 1036, 1036, 1036, 1036, 1036, 1036","512, 512, 512, 512, 512, 512, 512, 512, 512, 512","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1548, 1548, 1548, 1548, 1548, 1548, 1548, 1548, 1548, 1548"
SPONGENT,088176088,spongent.o,"1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040","512, 512, 512, 512, 512, 512, 512, 512, 512, 512","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1552, 1552, 1552, 1552, 1552, 1552, 1552, 1552, 1552, 1552"
LESAMNTA,256,lesamnta-LW.o,"3296, 3296, 3296, 3296, 3296, 3296, 3296, 3296, 3296, 3296","544, 544, 544, 544, 544, 544, 544, 544, 544, 544","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","3840, 3840, 3840, 3840, 3840, 3840, 3840, 3840, 3840, 3840"
ASCON,256,"hash.o, printstate.o","2648, 2648, 2648, 2648, 2648, 2648, 2648, 2648, 2648, 2648","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","2648, 2648, 2648, 2648, 2648, 2648, 2648, 2648, 2648, 2648"
PHOTON_BEETLE,256,"photon.o, hash.o","1774, 1774, 1774, 1774, 1774, 1774, 1774, 1774, 1774, 1774","162, 162, 162, 162, 162, 162, 162, 162, 162, 162","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1936, 1936, 1936, 1936, 1936, 1936, 1936, 1936, 1936, 1936"
XOODYAK,256,"Xoodoo-reference.o, Xoodyak.o","2756, 2756, 2756, 2756, 2756, 2756, 2756, 2756, 2756, 2756","48, 48, 48, 48, 48, 48, 48, 48, 48, 48","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","2804, 2804, 2804, 2804, 2804, 2804, 2804, 2804, 2804, 2804"
KNOT,256,hash.o,"3106, 3106, 3106, 3106, 3106, 3106, 3106, 3106, 3106, 3106","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","3106, 3106, 3106, 3106, 3106, 3106, 3106, 3106, 3106, 3106"
ORANGE,256,hash.o,"2540, 2540, 2540, 2540, 2540, 2540, 2540, 2540, 2540, 2540","162, 162, 162, 162, 162, 162, 162, 162, 162, 162","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","2702, 2702, 2702, 2702, 2702, 2702, 2702, 2702, 2702, 2702"
SHAMAS,256,hash.o,"7954, 7954, 7954, 7954, 7954, 7954, 7954, 7954, 7954, 7954","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","7954, 7954, 7954, 7954, 7954, 7954, 7954, 7954, 7954, 7954"
SIVRIJNDAEL,256,"rijndael-alg-ref.o, hash.o, rijndael256.o","1966, 1966, 1966, 1966, 1966, 1966, 1966, 1966, 1966, 1966","4, 4, 4, 4, 4, 4, 4, 4, 4, 4","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1970, 1970, 1970, 1970, 1970, 1970, 1970, 1970, 1970, 1970"
SIVTEMPHOTON,256,"photon.o, hash.o","2228, 2228, 2228, 2228, 2228, 2228, 2228, 2228, 2228, 2228","94, 94, 94, 94, 94, 94, 94, 94, 94, 94","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","2322, 2322, 2322, 2322, 2322, 2322, 2322, 2322, 2322, 2322"
SKINNY,256,"hash.o, skinny_hash.o, skinny_reference.o","6100, 6100, 6100, 6100, 6100, 6100, 6100, 6100, 6100, 6100","706, 706, 706, 706, 706, 706, 706, 706, 706, 706","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","6806, 6806, 6806, 6806, 6806, 6806, 6806, 6806, 6806, 6806"
